id,pierwsze_imie,drugie_imie,nazwisko,id_komitetu
297,Joanna,Olszyna,LIPIŃSKA-PIEKARSKA,1
298,Józef,Stanisław,KRÓL,1
299,Magdalena,,DROPEK,1
300,Magdalena,Bronisława,KUBAŃSKA,1
301,Barbara,Ewa,BIELAWSKA,1
302,Marek,,TRZYBIŃSKI,1
303,Monika,Anna,SZYMAŃSKA,1
304,Piotr,,PLEBAŃCZYK,1
305,Joanna,Ewa,HAŃDEREK,1
306,Piotr,Andrzej,ŚRODA,1
307,Alicja,Joanna,BERYT,1
308,Monika,Iwona,FRENKIEL,1
309,Dorota,Zuzanna,KAWĘCKA,1
310,Mateusz,Ryszard,BURZAWA,1
311,Katarzyna,Anna,WOLAŃSKA,1
312,Olesia,,IVCHENKO,1
313,Tomasz,Grzegorz,IDZIK,1
314,Anna,Małgorzata,GULIŃSKA,1
315,Bartłomiej,Jakub,MODZELEWSKI,1
316,Piotr,Paweł,GROBLER,1
317,Rafał,Roman,ZIELENIEWSKI,1
318,Adam,Stanisław,JAŚKOW,1
319,Marcin,,GALENT,1
320,Paulina,Agnieszka,TEKIEL,1
321,Kinga,,GAŁKA,1
322,Tomasz,Marek,LEŚNIAK,1
323,Jakub,Józef,BOCHEŃSKI,1
324,Barbara,Aleksandra,ŻYTKOWICZ,1
325,Zuzanna,Katarzyna,JAKOWICKA,1
326,Henryk,,PLATO,1
327,Beata,Katarzyna,CZERSKA,1
328,Marzena,Beata,DRZEWIŃSKA,1
329,Eugeniusz,,ORZECHOWSKI,1
330,Grażyna,,CEMPA-PULIT,1
331,Jolanta,Maria,REICHERT,1
332,Stanisław,,GĄSIENICA-DANIEL,1
333,Maria,Jolanta,ALCHOWŚKA,1
334,Iwona,Anna,SMOLEŃ,1
335,Łukasz,,KOŁODZIEJ,1
336,Bartosz,Czesław,KĘSKA,1
337,Jolanta,Aleksandra,ŻYLIŃSKA,1
338,Krzysztof,,DŁUGOSZ,1
339,Danuta,,PIOTROWSKA,1
340,Magdalena,,MAJERCZAK-KIESZKOWSKA,1
341,Dorota,Ewa,SZLAGOWSKA-BUDACZ,1
342,Jacek,Andrzej,JABŁOŃSKI,1
343,Jerzy,Andrzej,WOŹNIAK,1
344,Ewa,,SKOWROŃSKA,1
345,Dorota,,KOCOŃ,1
346,Stanisław,Andrzej,PIWOWARSKI,1
347,Agnieszka,Anna,SIENICKA,1
348,Antoni,,CZAPKIEWICZ,1
349,Maria,Bernadeta,WILCZYŃSKA,1
350,Przemysław,Tomasz,DAŃDA,1
351,Przemysław,,WĘGRZYN,1
352,Romana,Anna,JEWUŁA,1
353,Renata,Lucyna,NIZIOŁEK,1
354,Liliana,Karolina,KONOPKA,1
355,Artur,Łukasz,BOROWICZ,1
356,Justyna,Magdalena,MAŁEK,1
357,Maciej,Jan,MROZOWSKI,1
358,Alicja,Łucja,SERWIN,1
359,Andrzej,Stefan,SZTORC,1
360,Arkadiusz,,IWANIAK,1
361,Adrian,,BRUDNICKI,1
362,Zbigniew,,AUGUSTYŃSKI,1
363,Małgorzata,,LINOWSKA,1
364,Krzysztof,,KWASIBORSKI,1
365,Janina,Franciszka,ANTOSZKIEWICZ,1
366,Piotr,Julian,KANIEWSKI,1
367,Dariusz,,ŁUCZAK,1
368,Renata,,JASIŃSKA,1
369,Eugeniusz,Jan,NOWAK,1
370,Renata,Małgorzata,GŁUSKOWSKA,1
371,Anna,,WELENC,1
372,Olga,,GÓRECKA,1
373,Sebastian,,ANDRZEJCZAK,1
374,Mateusz,,DOBROWOLSKI,1
375,Wioletta,,KUJAWA,1
376,Zbigniew,,KRÓLIKOWSKI,1
377,Jerzy,Wojciech,PIÓROWICZ,1
378,Jan,,STANISZEWSKI,1
379,Marek,,KIWIT,1
380,Patryk,,FAJDEK,1
381,Ireneusz,Robert,SITARSKI,1
382,Anna,Izabela,ŻYTKOWSKA-PRUS,1
383,Daniel,,OLISZEWSKI,1
384,Małgorzata,Maria,ZIEMNICKA,1
385,Ewa,Anna,FIGURSKA,1
386,Judyta,Ewa,PERCZAK,1
387,Kalina,Olga,SZEWCZYK,1
388,Iwona,Agnieszka,JAGIEŁŁO,1
389,Piotr,Adam,SZMIGIEL,1
390,Beata,Agnieszka,DRELA,1
391,Karol,Mariusz,WICIK,1
392,Bartosz,Jakub,GIZIŃSKI,1
393,Edyta,Jadwiga,MALEC-ĆWIEK,1
394,Zygmunt,,GORYCKI,1
395,Sławomir,Włodzimierz,GRYCHTAL,1
396,Justyna,Agnieszka,KOSIEC,1
397,Jolanta,Monika,SOKOŁOWSKA,1
398,Dorota,Zofia,OLKO,1
399,Anna,,PIASECKA,1
400,Maria,Magdalena,PARZYCHOWSKA-KURPIEWSKA,1
401,Michał,Aleksander,SKRZYNIARZ,1
402,Tomasz,Robert,KARDACZ,1
403,Jacek,Piotr,KUŹNIARSKI,1
404,Izabela,Aldona,TRZPIL,1
405,Beata,,ZYGMUNT,1
406,Radosław,,KOMOR,1
407,Maciej,,KARWOWSKI,1
408,Maria,Aleksandra,PAWLAK,1
409,Maciej,Tadeusz,PRANDOTA,1
410,Krzysztof,,GROCHOWSKI,1
411,Tomasz,Sebastian,OLEKSY,1
412,Grzegorz,,LIS,1
413,Justyna,Helena,KASPAREK,1
414,Małgorzata,Joanna,ADAMCZYK,1
415,Rafał,,CHOJECKI,1
416,Małgorzata,Olga,WOJTOWICZ,1
417,Marta,,GASTOŁ,1
418,Tomasz,Andrzej,PNIEWSKI,1
419,Delfina,Maria,HASZCZYŃSKA,1
420,Grzegorz,,GUZ,1
421,Henryk,Krzysztof,KRASUCKI,1
422,Adrian,Tadeusz,ZANDBERG,1
423,Anna,Maria,ŻUKOWSKA,1
424,Anna,Małgorzata,TARCZYŃSKA,1
425,Magdalena,Agnieszka,BIEJAT,1
426,Krzysztof,,LIEDEL,1
427,Filip,Tadeusz,PELC,1
428,Bożena,Marta,PRZYŁUSKA,1
429,Hanna,Janina,BRÓZDA,1
430,Katarzyna,Beata,DUDA,1
431,Mateusz,Zbigniew,STĘPIEŃ,1
432,Sebastian,Roman,LISZKA,1
433,Danuta,Beata,POSTNIKOFF,1
434,Joanna,Beata,WICHA,1
435,Jacek,Zbigniew,KUBIAK,1
436,Mateusz,Wojciech,GOŹDZIKOWSKI,1
437,Urszula,Teresa,KUCZYŃSKA,1
438,Łukasz,Kamil,MYCKA,1
439,Joanna,Maria,KELLES-KRAUZ,1
440,Wojciech,,OŻDŻEŃSKI,1
441,Dariusz,Krzysztof,ROZENEK,1
442,Joanna,Wanda,BRONOWICKA,1
443,Maciej,Włodzimierz,DUNIN-BORKOWSKI,1
444,Inga,Maria,DOMAŃSKA,1
445,Jerzy,Marian,RYTEL,1
446,Andrzej,Wiktor,WRÓBLEWSKI,1
447,Anna,Paulina,PAJĘCKA,1
448,Anna,Klara,JAGODZIŃSKA,1
449,Daniel,,MIENIEWSKI,1
450,Agnieszka,,LUTOSTAŃSKA,1
451,Małgorzata,Anna,SÓJKA,1
452,Cezary,,ŻURAWSKI,1
453,Anna,Paulina,SADOWSKA,1
454,Krzysztof,Stanisław,MIERZWIŃSKI,1
455,Katarzyna,Anna,KOWALSKA-ZIĘTARA,1
456,Joanna,Maria,GODLEWSKA,1
457,Karol,Andrzej,SZUSTAKIEWICZ,1
458,Grzegorz,Jan,JANICZAK,1
459,Patryk,Piotr,UTOWKA,1
460,Marta,Zofia,SAYED,1
461,Piotr,,GADZINOWSKI,1
462,Andrzej,Tadeusz,ROZENEK,1
463,Julia,Eliza,ZIMMERMANN,1
464,Sylwia,Lidia,BUŹNIAK,1
465,Leszek,,PONIEWIERKA,1
466,Marcin,,GÓRSKI,1
467,Andrzej,Marek,RADZIKOWSKI,1
468,Konrad,Krzyszof,GOŁOTA,1
469,Ewa,Katarzyna,SKÓRSKA,1
470,Katarzyna,Anna,BRAITER,1
471,Bartosz,Konrad,GAWKOWSKI,1
472,Joanna,Dagmara,CIEPLIŃSKA-KOWALSKA,1
473,Małgorzata,Henryka,STARZYŃSKA,1
474,Katarzyna,,KOWALSKA,1
475,Remigiusz,Radosław,MAZUR,1
476,Liliana,,KOZIELSKA,1
477,Andrzej,,WOJCIESKI,1
478,Robert,,URBANEK,1
479,Monika,,BŁASZCZAK,1
480,Sławomir,Borys,MIŁOW,1
481,Mateusz,,SZYMAŃSKI,1
482,Ewa,Magdalena,WRÓBLEWSKA,1
483,Wiesław,,TOMASZEWSKI,1
484,Mateusz,Kamil,STEFANKOWSKI,1
485,Marek,Zdzisław,PAPUGA,1
486,Marcelina,Monika,ZAWISZA,1
487,Piotr,Jan,WOŹNIAK,1
488,Jarosław,Stanisław,PILC,1
489,Anna,Maria,JURCZYK-MIŻEJEWSKA,1
490,Małgorzata,Jolanta,OLIŃSKA-BIEG,1
491,Maciej,,KACZOR,1
492,Andrzej,Oswald,DROST,1
493,Grażyna,,JUSZCZYK,1
494,Stanisław,,NOWAK,1
495,Anna,Danuta,BARYŁOWICZ,1
496,Adam,Lesław,ŚWITLIK,1
497,Iwona,,GAŁĄZKA,1
498,Paweł,Józef,MUCHA,1
499,Agata,,GĄSOWSKA-KRAMARZ,1
500,Andrzej,Marian,ZĘBALA,1
501,Katarzyna,Ewa,PAPROTA,1
502,Grzegorz,Paweł,BEDNAREK,1
503,Anna,Magdalena,KYCIA,1
504,Michał,Karol,SORGOWICKI,1
505,Alina,Małgorzata,MIENTUS,1
506,Piotr,Wojciech,OSIADŁY,1
507,Natalia,Maria,PODMOSTKA,1
508,Jerzy,,PRZYSTAJKO,1
509,Łukasz,Michał,RYDZIK,1
510,Gabriel,Jerzy,ZAJDEL,1
511,Kamila,,MACKIEWICZ-ROSSMANITH,1
512,Janusz,Andrzej,JAGUSTYN,1
513,Kamila,Helena,PIOTROWSKA,1
514,Patryk,Beniamin,FIC,1
515,Marzena,Mieczysława,CIWONIUK,1
516,Dominik,Łukasz,RYCZAN,1
517,Iwona,,GORCZYCA,1
518,Adam,,BOGUSZ,1
519,Dagmara,Sylwia,KUROPATWA,1
520,Zbigniew,,WEŁYCZKO,1
521,Ewa,Aneta,BARAN,1
522,Wiesław,Adam,WOŚ,1
523,Grzegorz,Stanisław,ŻÓŁKOŚ,1
524,Radosław,Zbigniew,KRUKAR,1
525,Monika,,ŚWIEBODA,1
526,Mirosław,Józef,PIELA,1
527,Halina,Bożena,ITNER,1
528,Sebastian,Rafał,ŚWIEBODA,1
529,Łukasz,,STEBNICKI,1
530,Piotr,Marcin,WOJNAROWSKI,1
531,Wiesław,,BUŻ,1
532,Michał,Andrzej,SZTUK,1
533,Agnieszka,,ITNER,1
534,Julian,,OZIMEK,1
535,Jerzy,,FILIPEK,1
536,Bożena,Marta,KRASNOPOLSKA,1
537,Bronisław,Tadeusz,TOFIL,1
538,Krzysztof,,JASIŃSKI,1
539,Natalia,Ludmiła,KACAŁA,1
540,Kamil,,ŁUCZAJ,1
541,Stanisław,Andrzej,SKAWIŃSKI,1
542,Wiesław,Stanisław,JELEŃ,1
543,Kamil,Paweł,KRZEMIŃSKI,1
544,Martin,Marian,IRZYK,1
545,Marzena,Zofia,ZAJĄC,1
546,Janusz,,STĄCEL,1
547,Ireneusz,Grzegorz,FIETKO,1
548,Ala,,ZYCH,1
549,Damian,Kazimierz,WINIARSKI,1
550,Teresa,Anna,LUBERA,1
551,Monika,,RŻANY,1
552,Józef,,PRZYBOŚ,1
553,Barbara,Katarzyna,OŻÓG,1
554,Marek,Andrzej,KUŹMICZ,1
555,Patrycja,Dorota,BRZYKOWSKA,1
556,Andrzej,Jan,NOGA,1
557,Krystyna,,DZIĄGWA,1
558,Mateusz,Michał,CICHY,1
559,Anna,,OSTROWSKA,1
560,Kazimierz,Leszek,GACEK,1
561,Paweł,,KRUTUL,1
562,Piotr,,KUSZNIERUK,1
563,Katarzyna,Ewa,ROSIŃSKA,1
564,Seweryn,,PROKOPIUK,1
565,Tomasz,,MAŃCZUK,1
566,Janusz,,BOROWIK,1
567,Justyna,,REMBISZEWSKA,1
568,Elżbieta,,MURAWKO,1
569,Renata,,ARASIMOWICZ,1
570,Izabela,Teresa,CZERNIAWSKA,1
571,Joanna,Grażyna,DEONIZIAK,1
572,Jakub,,POPŁAWSKI,1
573,Marcin,,BIRGIEL,1
574,Jolanta,Gertruda,MATWIEJCZUK,1
575,Mieczysław,,ŚNIADACH,1
576,Grzegorz,Jan,JANOSZKA,1
577,Adrian,,SKOWROŃSKI,1
578,Mikołaj,,MIRONOWICZ,1
579,Michalina,Daria,ARTYSIEWICZ,1
580,Aleksandra,Julia,ANDRUKIEWICZ,1
581,Anna,Małgorzata,KRAWCZYK,1
582,Dariusz,Jerzy,JANICKI,1
583,Jakub,,OSIEJEWSKI,1
584,Kamila,Maria,WYSOCKA,1
585,Anna,,JASIONEK,1
586,Grzegorz,,DROBEK,1
587,Magdalena,,SIELAWA,1
588,Wojciech,Janusz,KORONKIEWICZ,1
589,Beata,Monika,MACIEJEWSKA,1
590,Jolanta,Maria,BANACH,1
591,Łukasz,,KOWALCZUK,1
592,Andrzej,Stanisław,ŚNIEG,1
593,Michał,Rafał,PIĘKOŚ,1
594,Iwona,,OCHOCKA,1
595,Olga,,STROJNY,1
596,Edward,Rajmund,GWOŹDŹ,1
597,Wojciech,,HRYNIEWSKI,1
598,Karolina,,NOWAK,1
599,Judyta,Anna,KRÓL,1
600,Igor,,PACEK,1
601,Adam,Ryszard,HODERNY,1
602,Ksenia,,GREKULAK,1
603,Wojciech,Jakub,KŁOS,1
604,Mirosław,Wojciech,CYGAN,1
605,Anna,Ewa,STAŻEWSKA,1
606,Lucyna,Beata,WADLEWSKA,1
607,Bartosz,,BYLICA,1
608,Dorota,Maria,MARKIEWICZ,1
609,Marcin,Krystian,WICHERT,1
610,Anna,Kazimiera,ŻOCHOWSKA,1
611,Joanna,Dorota,SZKUDLAREK,1
612,Romuald,Wincenty,KOPERSKI,1
613,Joanna,,SENYSZYN,1
614,Marek,Andrzej,RUTKA,1
615,Karolina,,HASKA,1
616,Anna,Beata,ŁUKASZEWICZ,1
617,Adam,Marek,LUBIEWSKI,1
618,Bożena,Leokadia,SZUBIŃSKA,1
619,Jan,Stanisław,PONULAK,1
620,Marzena,,KUTWA,1
621,Katarzyna,Gabriela,WIRKUS,1
622,Jacek,Heliodor,LAMPART,1
623,Beata,Krystyna,GAJEWSKA,1
624,Ryszard,Zygmunt,KWIATKOWSKI,1
625,Jakub,Mikołaj,ŻYNIS,1
626,Krzysztof,Kazimierz,KOZIOŁ,1
627,Maciej,,JAROSZ,1
628,Beata,Krystyna,STENCEL,1
629,Michał,Stanisław,KOWALEWSKI,1
